source_name,ra_deg,dec_deg,catalog_flux_jy,dsa_peak_jyb,snr,ratio,source_type,is_upper_limit,catalog
NVSS_997997,337.558875,16.200139,0.0944,0.014798,1.73,0.1568,continuum,True,nvss
NVSS_998979,342.667208,16.256250,0.0527,0.043574,5.10,0.8268,continuum,False,nvss
NVSS_999369,349.747458,16.277111,0.0998,0.059949,7.02,0.6007,continuum,False,nvss
NVSS_999551,347.345083,16.286972,0.0707,0.049957,5.85,0.7066,continuum,False,nvss
NVSS_999667,346.073875,16.293917,0.0689,0.044412,5.20,0.6446,continuum,False,nvss
NVSS_999784,343.348833,16.300444,0.0836,0.0059189,0.69,0.0708,continuum,True,nvss
NVSS_999914,352.945792,16.306528,0.0669,0.43382,50.80,6.4846,continuum,False,nvss
NVSS_1000076,350.427833,16.315583,0.0757,0.067204,7.87,0.8878,continuum,False,nvss
NVSS_1000093,350.956250,16.316417,0.0561,0.055971,6.55,0.9977,continuum,False,nvss
NVSS_1000177,338.194917,16.321722,0.0756,0.01684,1.97,0.2228,continuum,True,nvss
NVSS_1000451,340.209250,16.335972,0.0584,0.044412,5.20,0.7605,continuum,False,nvss
NVSS_1001004,348.330583,16.366639,0.0521,0.0434,5.08,0.8330,continuum,False,nvss
NVSS_1001122,337.293083,16.373444,0.1145,0.017749,2.08,0.1550,continuum,True,nvss
NVSS_1001131,343.332125,16.373917,0.0922,0.010939,1.28,0.1186,continuum,True,nvss
NVSS_1001520,343.329792,16.394167,0.0728,0.045518,5.33,0.6253,continuum,False,nvss
NVSS_1001946,351.800375,16.417167,0.0786,0.20619,24.14,2.6233,continuum,False,nvss
NVSS_1001961,337.891792,16.417861,0.0809,0.0093285,1.09,0.1153,continuum,True,nvss
NVSS_1002046,348.862000,16.423361,0.1201,0.096458,11.30,0.8032,continuum,False,nvss
NVSS_1002133,344.964750,16.428806,0.0894,0.13124,15.37,1.4680,continuum,False,nvss
NVSS_1002399,339.847625,16.441833,0.2273,0.23645,27.69,1.0403,continuum,False,nvss
NVSS_1002410,351.379625,16.442500,0.0636,0.07709,9.03,1.2121,continuum,False,nvss
NVSS_1002803,338.384458,16.465722,0.1219,0.013685,1.60,0.1123,continuum,True,nvss
NVSS_1003970,352.829292,16.529083,0.085,0.16054,18.80,1.8887,continuum,False,nvss
NVSS_1004402,337.183042,16.553833,0.1065,0.019845,2.32,0.1863,continuum,True,nvss
NVSS_1005037,344.993875,16.588222,0.1376,0.12567,14.72,0.9133,continuum,False,nvss
NVSS_1005939,349.768958,16.640028,0.1474,0.082836,9.70,0.5620,continuum,False,nvss
NVSS_1006372,348.905750,16.662028,0.0513,0.060233,7.05,1.1741,continuum,False,nvss
NVSS_1006715,350.973625,16.679167,0.0581,0.025688,3.01,0.4421,continuum,False,nvss
NVSS_1008440,350.578083,16.775111,0.1145,0.14644,17.15,1.2789,continuum,False,nvss
NVSS_1008492,351.408792,16.778194,0.0508,0.043944,5.15,0.8650,continuum,False,nvss
NVSS_1008587,337.123250,16.782611,0.0961,0.017351,2.03,0.1806,continuum,True,nvss
NVSS_1008886,344.030750,16.798500,0.0962,0.085618,10.03,0.8900,continuum,False,nvss
NVSS_1008934,348.054042,16.801417,0.1188,0.12944,15.16,1.0896,continuum,False,nvss
NVSS_1009094,348.632958,16.810000,0.0965,0.084147,9.85,0.8720,continuum,False,nvss
NVSS_1009497,343.480292,16.832028,0.0823,0.068982,8.08,0.8382,continuum,False,nvss
NVSS_1010157,344.889542,16.872278,0.1157,0.16483,19.30,1.4246,continuum,False,nvss
NVSS_1010289,338.267292,16.880472,0.0708,0.018079,2.12,0.2553,continuum,True,nvss
NVSS_1010455,344.599000,16.889528,0.059,0.056444,6.61,0.9567,continuum,False,nvss
NVSS_1010470,342.639167,16.890194,0.052,0.056215,6.58,1.0811,continuum,False,nvss
NVSS_1010600,350.540792,16.897306,0.0636,0.10073,11.80,1.5839,continuum,False,nvss
NVSS_1010778,343.433458,16.906944,0.0558,0.067475,7.90,1.2092,continuum,False,nvss
NVSS_1010826,343.710333,16.909694,0.0986,0.11055,12.94,1.1211,continuum,False,nvss
NVSS_1011110,349.408458,16.924972,0.0544,0.048057,5.63,0.8834,continuum,False,nvss
NVSS_1011220,338.908833,16.930361,0.0693,0.075117,8.80,1.0839,continuum,False,nvss
NVSS_1011805,345.153208,16.962361,0.149,0.096655,11.32,0.6487,continuum,False,nvss
NVSS_1012147,351.051375,16.981667,0.0855,0.082075,9.61,0.9599,continuum,False,nvss
NVSS_1013246,337.966417,17.046417,0.054,0.010143,1.19,0.1878,continuum,True,nvss
NVSS_1013543,347.041042,17.063056,0.0896,0.08296,9.71,0.9259,continuum,False,nvss
NVSS_1013599,349.357917,17.066000,0.0558,0.040676,4.76,0.7290,continuum,False,nvss
NVSS_1014465,350.655375,17.115722,0.0937,0.076403,8.95,0.8154,continuum,False,nvss
NVSS_1015134,346.033667,17.153000,0.0755,0.080695,9.45,1.0688,continuum,False,nvss
NVSS_1015535,343.071583,17.175806,0.0646,0.068768,8.05,1.0645,continuum,False,nvss
NVSS_1016001,341.274750,17.200750,0.0917,0.09785,11.46,1.0671,continuum,False,nvss
NVSS_1016055,350.413333,17.203222,0.0558,0.13571,15.89,2.4321,continuum,False,nvss
NVSS_1016183,341.286708,17.209833,0.0752,0.10009,11.72,1.3310,continuum,False,nvss
NVSS_1016478,350.125250,17.225694,0.0603,0.051848,6.07,0.8598,continuum,False,nvss
NVSS_1016648,340.167583,17.235083,0.0623,0.057373,6.72,0.9209,continuum,False,nvss
NVSS_1016737,340.404042,17.239222,0.0763,0.051312,6.01,0.6725,continuum,False,nvss
NVSS_1016883,342.421625,17.246694,0.1141,0.13149,15.40,1.1524,continuum,False,nvss
NVSS_1017049,343.447167,17.255528,0.0567,0.036456,4.27,0.6430,continuum,False,nvss
NVSS_1017206,342.977667,17.265167,0.0502,0.00025325,0.03,0.0050,continuum,True,nvss
NVSS_1017581,346.433042,17.287111,0.0511,0.070987,8.31,1.3892,continuum,False,nvss
NVSS_1017701,342.983292,17.293972,0.6645,0.17819,20.87,0.2682,continuum,False,nvss
NVSS_1017728,347.680083,17.295861,0.0666,0.068791,8.06,1.0329,continuum,False,nvss
NVSS_1017730,351.539292,17.295972,0.1796,0.13112,15.35,0.7300,continuum,False,nvss
NVSS_1017923,343.752083,17.306750,0.0545,0.064997,7.61,1.1926,continuum,False,nvss
NVSS_1018203,340.085125,17.323500,0.088,0.060813,7.12,0.6911,continuum,False,nvss
NVSS_1018524,346.947958,17.343611,0.0884,0.08686,10.17,0.9826,continuum,False,nvss
NVSS_1018621,336.949083,17.349111,0.0563,0.016703,1.96,0.2967,continuum,True,nvss
NVSS_1019280,336.508333,17.386833,0.1645,0.0040685,0.48,0.0247,continuum,True,nvss
NVSS_1019509,340.917958,17.398500,0.1193,0.12169,14.25,1.0201,continuum,False,nvss
NVSS_1020117,351.402625,17.433083,0.0738,0.23527,27.55,3.1879,continuum,False,nvss
NVSS_1020887,351.322417,17.476333,0.1281,0.17885,20.94,1.3961,continuum,False,nvss
NVSS_1021098,351.666583,17.487694,0.2143,0.12154,14.23,0.5671,continuum,False,nvss
NVSS_1021417,339.287500,17.506472,0.0891,0.062737,7.35,0.7041,continuum,False,nvss
NVSS_1021796,352.432042,17.528250,0.0822,0.76801,89.93,9.3432,continuum,False,nvss
NVSS_1021974,340.410292,17.538056,0.0695,0.094941,11.12,1.3661,continuum,False,nvss
NVSS_1022208,346.812667,17.551750,0.058,0.067508,7.91,1.1639,continuum,False,nvss
NVSS_1022471,347.499000,17.565167,0.0549,0.055803,6.53,1.0164,continuum,False,nvss
NVSS_1022568,338.379542,17.570917,0.0689,0.092999,10.89,1.3498,continuum,False,nvss
NVSS_1022627,338.363250,17.574000,0.0731,0.092946,10.88,1.2715,continuum,False,nvss
NVSS_1023212,337.041458,17.605639,0.0589,0.019081,2.23,0.3239,continuum,True,nvss
NVSS_1023368,338.909333,17.614833,0.0668,0.10823,12.67,1.6203,continuum,False,nvss
NVSS_1023788,349.815417,17.639000,0.0673,0.045051,5.28,0.6694,continuum,False,nvss
NVSS_1023819,340.307958,17.640583,0.0528,0.077889,9.12,1.4752,continuum,False,nvss
NVSS_1024241,338.020917,17.663833,0.0781,0.021726,2.54,0.2782,continuum,True,nvss
NVSS_1024481,345.810167,17.677472,0.2543,0.2154,25.22,0.8470,continuum,False,nvss
NVSS_1024599,338.404958,17.684778,0.0575,0.0461,5.40,0.8017,continuum,False,nvss
NVSS_1025243,344.377208,17.718667,0.0543,0.10866,12.72,2.0011,continuum,False,nvss
NVSS_1025314,345.831458,17.722972,0.1168,0.14383,16.84,1.2314,continuum,False,nvss
NVSS_1025626,338.441542,17.739667,0.0695,0.094461,11.06,1.3591,continuum,False,nvss
NVSS_1025769,338.494833,17.747472,0.0772,0.10854,12.71,1.4060,continuum,False,nvss
NVSS_1026156,348.242833,17.768944,0.0804,0.09938,11.64,1.2361,continuum,False,nvss
NVSS_1026399,350.253000,17.782667,0.0511,0.12126,14.20,2.3729,continuum,False,nvss
NVSS_1026417,345.135292,17.783250,0.0637,0.11818,13.84,1.8552,continuum,False,nvss
NVSS_1026659,341.077083,17.798000,0.0719,0.15808,18.51,2.1986,continuum,False,nvss
NVSS_1027034,347.864917,17.820750,0.0535,0.049432,5.79,0.9240,continuum,False,nvss
NVSS_1027036,342.636708,17.820833,0.054,0.1041,12.19,1.9278,continuum,False,nvss
NVSS_1027359,342.754458,17.838861,0.102,0.17243,20.19,1.6905,continuum,False,nvss
NVSS_1027478,347.013167,17.846167,0.0528,0.052998,6.21,1.0037,continuum,False,nvss
J2317+1439,349.288481,14.658688,0.0006,0.015172,1.78,25.2861,pulsar,True,atnf
